1,13150,14653,-871,A
1,114760,119083,6962,E
1,123679,128791,-3153,A
1,155639,158163,4278,E
1,176383,180185,-1488,A
1,182968,185120,-919,A
1,276297,277615,2684,E
1,295418,296366,13618,E
1,296804,297767,15004,E
1,376421,378075,16362,E
1,457188,460916,7305,E
1,469774,471085,-12523,A
1,495831,498041,1250,E
1,521316,526678,-2733,A
1,531654,533380,910,E
1,533994,535988,3250,E
1,585989,586574,-622,A
1,653723,656701,-9118,A
1,702475,707843,-10738,A
1,714393,721835,-7167,A
1,729889,732982,537,E
1,773558,774829,-3545,A
1,776387,777313,-1061,A
1,940274,940930,0,C
1,941602,942090,0,C
1,965899,966694,-0.29685534591194973,B
1,1000032,1000941,0,C
1,1013313,1013894,0,C
1,1063757,1064813,3721,E
1,1079297,1080032,-0.1551020408163265,B
1,1157495,1158574,0,C
1,1343985,1345543,-2215,A
1,1433740,1434754,0,C
1,1614931,1615794,-0.23986095017381226,B
1,1686208,1686999,4976,E
1,1692441,1694039,0,C
1,1724293,1724991,0,C
1,1746178,1747311,0,C
1,1758556,1759190,-0.15930599369085174,B
1,1778511,1779379,0,C
1,1959653,1960413,-0.1394736842105263,B
1,2139683,2140582,3718,E
1,2212547,2213193,0,C
1,2413681,2414322,0,C
1,2658882,2660132,15332,E
1,2666100,2667058,-16914,A
1,2766426,2767143,1075,E
1,3312529,3313993,-5782,A
1,3613327,3614221,-1146,A
1,5991966,5993103,-0.04309586631486373,B
1,6157345,6158370,-3227,A
1,6204758,6205465,-0.32814710042432815,B
1,6205798,6206554,0,C
1,6219964,6220939,13397,E
1,6385464,6386998,0,C
1,6447441,6448578,945,E
1,6602566,6604005,0,C
1,6859516,6860860,4970,E
1,6960241,6961108,0,C
1,7265042,7266836,-11063,A
1,7298364,7301947,-914,A
1,7312444,7313706,-3853,A
1,7401527,7402534,12641,E
1,7470231,7471785,-3244,A
1,7549025,7550426,8871,E
1,7954069,7954713,0,C
1,7961299,7962045,0,C
1,8027317,8029031,333,E
1,8039824,8041545,11212,E
1,8046869,8048762,5750,E
1,8075592,8079427,-4684,A
1,8082303,8084635,3729,E
1,8095791,8098463,3022,E
1,8120276,8123157,2997,E
1,8133107,8134723,-3119,A
1,8137402,8139135,-15557,A
1,8154101,8155994,-9753,A
1,8166482,8168427,412,E
1,8181792,8183407,-6595,A
1,8197356,8198551,2321,E
1,8211539,8212651,8550,E
1,8258780,8260142,19080,E
1,8343195,8344003,0,C
1,8424008,8425282,0,C
1,8493704,8494660,3121,E
1,8712071,8713403,8312,E
1,8857948,8860571,8614,E
1,8873349,8874528,1479,E
1,8888867,8890925,-6458,A
1,8899535,8900670,1634,E
1,9080043,9081334,1792,E
1,9145053,9145793,2501,E
1,9163501,9164729,215,E
1,9181510,9182605,0,C
1,9234119,9234615,-0.3125,B
1,9388568,9389407,3406,E
1,9400343,9401130,0,C
1,9413307,9414296,0,C
1,9688749,9689518,-0.38491547464239273,B
1,9718961,9719639,4346,E
1,9825050,9825990,0,C
1,9890013,9891811,-649,A
1,9892387,9894542,1662,E
1,10182104,10182796,10468,E
1,10230381,10231316,-10628,A
1,10528032,10529082,8467,E
1,10779315,10779977,2346,E
1,11060005,11060699,0,C
1,11692920,11693838,1197,E
1,11736061,11736593,0,C
1,11790820,11791547,2590,E
1,11805012,11806165,-0.36079791847354725,B
1,11821445,11822358,14976,E
1,11908180,11909510,0,C
1,12131814,12132660,-327,A
1,12132843,12133619,370,E
1,12161460,12162698,-1509,A
1,12177661,12178856,7012,E
1,12433219,12435265,-1746,A
1,12469344,12470901,-4839,A
1,12480177,12481536,1258,E
1,12485338,12487001,4241,E
1,12501231,12502380,4455,E
1,12528048,12529155,0,C
1,12549105,12550398,0,C
1,12573520,12574596,7197,E
1,12587704,12588712,-7153,A
1,12603961,12605242,2327,E
1,12618027,12619558,-275,A
1,13766650,13767565,-3257,A
1,15139602,15140397,-4892,A
1,15152395,15154046,0,C
1,15178386,15180504,-666,A
1,15200388,15201353,2931,E
1,15260097,15261938,-10481,A
1,15353741,15357340,960,E
1,15415705,15416706,3283,E
1,15787997,15788840,-3162,A
1,15794533,15795639,-0.5090415913200723,B
1,15799714,15801638,4024,E
1,15849134,15850178,548,E
1,15952609,15953270,1419,E
1,16075756,16076714,-21,A
1,16138681,16140459,-2944,A
1,16144920,16147478,799,E
1,16161538,16163227,-1027,A
1,16172688,16174328,-1392,A
1,16181059,16182418,4782,E
1,16366719,16367754,-0.19903381642512075,B
1,16495175,16495960,-2832,A
1,16512268,16515836,0,C
1,16545237,16546531,-1957,A
1,16563808,16569110,3590,E
1,16640948,16646118,-5648,A
1,16700090,16702376,-846,A
1,16749046,16752583,83,E
1,16850468,16852072,-7135,A
1,16859694,16861345,254,E
1,16865350,16868174,2812,E
1,16872432,16873944,-7737,A
1,16895604,16896995,-0.004313443565780006,B
1,16904158,16905226,-0.49625468164794007,B
1,17128017,17128891,1814,E
1,17169087,17169973,5644,E
1,17207379,17208605,-3419,A
1,17226114,17226864,-2634,A
1,17232863,17234456,-2557,A
1,17250422,17252335,4846,E
1,17487756,17488628,2129,E
1,17569047,17570380,-4161,A
1,17624601,17625497,-4035,A
1,17724989,17725650,-749,A
1,18618233,18619233,10541,E
1,18902129,18903245,-0.1362007168458781,B
1,18926295,18927182,3479,E
1,19010499,19011859,0,C
1,19209818,19211001,0,C
1,19429834,19431011,2096,E
1,19440382,19440949,0,C
1,19450469,19451352,4186,E
1,19468847,19469783,-2185,A
1,19924993,19926080,2239,E
1,19926256,19927353,3502,E
